ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes,TARGET
159,M,30.0,Casado,Profesor,Institucion publica,Samsung,0.0,6.0,Si,50.0,0.0,1.0,0.0,30.0,Perfil_2
86,F,35.0,Casado,Profesor,Institucion publica,Samsung,5.0,3.0,No,31.0,4.0,31.0,0.0,30.0,Perfil_1
83,M,24.0,Soltero,Servidor publico,Institucion publica,LeNovo A7000,0.0,3.0,Si,50.0,31.0,15.0,1.0,15.0,Perfil_4
214,M,35.0,Casado,Ingeniero de informacion,Institucion publica,Samsung,5.0,3.0,No,30.0,7.0,30.0,0.0,31.0,Perfil_1
31,M,24.0,Soltero,Ingeniero,Institucion publica,Samsung  A6,6.0,0.0,No,4.0,,1.0,15.0,1.0,Perfil_3
64,F,40.0,Soltero,Ingeniero de informacion,Sector privado,HTC M8,5.0,3.0,Si,7.0,31.0,1.0,0.0,0.0,Perfil_4
160,M,50.0,Casado,Ingeniero de informacion,Institucion publica,General Mobile,5.0,3.0,Si,1.0,30.0,0.0,0.0,0.0,Perfil_4
176,M,30.0,Casado,Profesor,Institucion publica,Samsung  A6,5.0,4.0,Si,0.0,30.0,1.0,0.0,0.0,Perfil_4
85,M,30.0,,,Institucion publica,Asus,10.0,6.0,No,30.0,50.0,1.0,0.0,7.0,Perfil_1
86,F,30.0,Casado,Contador,Sector privado,LG,0.0,3.0,No,0.0,0.0,1.0,1.0,0.0,Perfil_4
74,,30.0,Soltero,Ingeniero de informacion,Institucion publica,Samsung  A6,5.0,6.0,Si,4.0,31.0,31.0,31.0,31.0,Perfil_1
1,,30.0,Casado,Profesor,Institucion publica,LG,5.0,3.0,Si,0.0,1.0,1.0,0.0,15.0,Perfil_4
